epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1474.55,0.76155,1.91897,1.57602,0.96881,0.80376,0.52488,0.59447,0.47569,0.79255,0.5164,0.57447,0.43211,0.68643,1.77182,0.86348,0.93076,0.000275625,0.000275625,0.000275625
2,2570.11,0.76844,1.82422,0.98631,0.9646,0.79364,0.52736,0.5836,0.45762,0.78792,0.50472,0.55442,0.40659,0.73892,1.78816,0.88632,0.95935,0.000542336,0.000542336,0.000542336
3,3476.64,0.79172,1.8371,0.94501,0.97689,0.62003,0.54935,0.61176,0.48056,0.605,0.54133,0.58901,0.44217,0.72115,1.81236,0.84654,0.94009,0.000798052,0.000798052,0.000798052
4,4178.97,0.78572,1.84733,0.89907,0.97131,0.81672,0.53518,0.60376,0.48064,0.80366,0.52187,0.57379,0.4152,0.6993,1.80937,0.88172,0.92853,0.00078352,0.00078352,0.00078352
5,5094.09,0.76204,1.79919,0.8639,0.96404,0.82206,0.52757,0.61248,0.49526,0.8045,0.51233,0.58266,0.43283,0.68459,1.6912,0.78588,0.921,0.000767026,0.000767026,0.000767026
6,5940.09,0.73833,1.76387,0.83071,0.95783,0.6507,0.55449,0.63353,0.52471,0.63519,0.54411,0.6051,0.46986,0.6486,1.57749,0.71824,0.90093,0.000750533,0.000750533,0.000750533
7,6863.53,0.74216,1.70929,0.82606,0.95009,0.85092,0.54874,0.62372,0.51406,0.83843,0.53768,0.59725,0.4639,0.65548,1.63535,0.71392,0.90312,0.00073404,0.00073404,0.00073404
8,7888.83,0.71423,1.69203,0.79169,0.9442,0.86472,0.55561,0.64057,0.52878,0.86531,0.53307,0.61199,0.46482,0.62466,1.59239,0.72214,0.8887,0.000717546,0.000717546,0.000717546
9,9457.13,0.7223,1.64156,0.77102,0.94532,0.8661,0.56752,0.65545,0.53958,0.85347,0.54883,0.62119,0.47417,0.63059,1.62134,0.68477,0.897,0.000701053,0.000701053,0.000701053
10,10798,0.70388,1.65049,0.76661,0.939,0.84079,0.59264,0.63517,0.52938,0.82371,0.57346,0.60541,0.46565,0.61055,1.55082,0.71912,0.87861,0.000684559,0.000684559,0.000684559
11,11608.7,0.69024,1.61902,0.74933,0.93208,0.85665,0.56523,0.63849,0.52782,0.84061,0.5527,0.61132,0.47545,0.62826,1.52101,0.70034,0.88465,0.000668066,0.000668066,0.000668066
